VALORANT session stopped
Summary: 1782 new process(es)
Processes:
- System | pid=4 | exe=
- msedge.exe | pid=15288 | exe=C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe
- CefSharp.BrowserSubprocess.exe | pid=23480 | exe=C:\Program Files (x86)\Razer\Razer Services\Razer Central\CefSharp.BrowserSubprocess.exe
- Code.exe | pid=18368 | exe=C:\Users\artem\AppData\Local\Programs\Microsoft VS Code\Code.exe
- MicrosoftEdgeUpdate.exe | pid=8132 | exe=C:\Program Files (x86)\Microsoft\EdgeUpdate\MicrosoftEdgeUpdate.exe
- EpicWebHelper.exe | pid=24516 | exe=C:\Program Files (x86)\Epic Games\Launcher\Engine\Binaries\Win64\EpicWebHelper.exe
- firefox.exe | pid=31696 | exe=C:\Program Files\Mozilla Firefox\firefox.exe
- Code.exe | pid=19420 | exe=C:\Users\artem\AppData\Local\Programs\Microsoft VS Code\Code.exe
- EpicWebHelper.exe | pid=17376 | exe=C:\Program Files (x86)\Epic Games\Launcher\Engine\Binaries\Win64\EpicWebHelper.exe
- EpicWebHelper.exe | pid=24544 | exe=C:\Program Files (x86)\Epic Games\Launcher\Engine\Binaries\Win64\EpicWebHelper.exe
- LEDKeeper2.exe | pid=8172 | exe=C:\Program Files (x86)\MSI\MSI Center\Mystic Light\LEDKeeper2.exe
- Overwolf.exe | pid=24560 | exe=C:\Program Files (x86)\Overwolf\Overwolf.exe
- OverwolfBrowser.exe | pid=32764 | exe=C:\Program Files (x86)\Overwolf\0.292.1.1\OverwolfBrowser.exe
- System | pid=4 | exe=
- DisplayFusionHookApp64.exe | pid=5148 | exe=C:\Program Files\DisplayFusion\DisplayFusionHookApp64.exe
- Code.exe | pid=18464 | exe=C:\Users\artem\AppData\Local\Programs\Microsoft VS Code\Code.exe
- Code.exe | pid=32828 | exe=C:\Users\artem\AppData\Local\Programs\Microsoft VS Code\Code.exe
- CC_Engine_x64.exe | pid=8256 | exe=C:\Program Files (x86)\MSI\MSI Center\Engine\CC_Engine_x64.exe
- MSI.TerminalServer.exe | pid=14400 | exe=C:\Program Files (x86)\MSI\MSI Center\MSI.TerminalServer.exe
- OP.GG.exe | pid=4176 | exe=C:\Users\artem\AppData\Local\Programs\OP.GG\OP.GG.exe
- Code.exe | pid=14416 | exe=C:\Users\artem\AppData\Local\Programs\Microsoft VS Code\Code.exe
- pet.exe | pid=19540 | exe=C:\Users\artem\.vscode\extensions\ms-python.python-2026.0.0-win32-x64\python-env-tools\bin\pet.exe
- msedgewebview2.exe | pid=26720 | exe=C:\Program Files (x86)\Microsoft\EdgeWebView\Application\143.0.3650.139\msedgewebview2.exe
- nordvpn-service.exe | pid=4196 | exe=C:\Program Files\NordVPN\nordvpn-service.exe
